ambiguity,fileid,nps,numbers,sent
Oxford,test/15043,Cordoba~~~La Pampa~~~Buenos Aires,"['S', 'S', 'S']","Deterioration of the sunflower crop evident in harvested material in Cordoba, La Pampa and Buenos Aires forced yield estimates per hectare to be adjusted down again."
Oxford,test/15043,Cordoba~~~Santa Fe~~~Chaco,"['S', 'S', 'S']","Sorghum was harvested on 23 to 25 pct of the area sown in Cordoba, Santa Fe and Chaco."
Oxford,test/15043,May~~~August~~~September,"['S', 'S', 'S']","Preparation of the fields for the 1987/88 wheat crop, which will be sown between May and August or September, has so far not been as intense as in previous years."
Lack of Oxford,test/15048,West German Finance Minister Gerhard Stoltenberg and Bundesbank President Karl Otto Poehl~~~French Finance Minister Edouard Balladur~~~his central banker Jacques de Larosiere,"['P', 'S', 'S']","Officials seen arriving by Reuter correspondents included West German Finance Minister Gerhard Stoltenberg and Bundesbank President Karl Otto Poehl, French Finance Minister Edouard Balladur and his central banker Jacques de Larosiere."
Oxford,test/15052,<Welsh~~~Carson~~~Anderson~~~Stowe>.,"['S', 'S', 'S', 'S']","<The Reader's Digest Association Inc> said it sold its subsidiary, Source Telecomputing Corp, to the venture capital firm of <Welsh, Carson, Anderson and Stowe>. The purchase price was not disclosed, Reader's Digest said."
Lack of Oxford,test/15063,Cheap oil feedstocks~~~the weakened U.S. dollar~~~a plant utilization rate approaching 90 pct,"['P', 'S', 'S']","Cheap oil feedstocks, the weakened U.S. dollar and a plant utilization rate approaching 90 pct will propel the streamlined U.S. petrochemical industry to record profits this year, with growth expected through at least 1990, major company executives predicted."
Oxford,test/15063,GAF Corp <GAF>~~~privately-held Cain Chemical Inc~~~other firms,"['S', 'S', 'P']","This bullish outlook for chemical manufacturing and an industrywide move to shed unrelated businesses has prompted GAF Corp <GAF>, privately-held Cain Chemical Inc, and other firms to aggressively seek acquisitions of petrochemical plants."
Oxford,test/15063,aluminum~~~wood~~~steel,"['S', 'S', 'S']","Garo Armen, an analyst with Dean Witter Reynolds, said chemical makers have also benefitted by increasing demand for plastics as prices become more competitive with aluminum, wood and steel products."
Neither,test/15093,electronics~~~major appliances~~~other lines,"['P', 'P', 'P']","The company said revenue gains in electronics, major appliances and other lines were offset by decreases in energy services and aircraft products."
Oxford,test/15095,Ivory Coast~~~Brazil~~~Ghana,"['S', 'S', 'S']","The CPA includes the world's top three producers, Ivory Coast, Brazil and Ghana, and accounts for 80 pct of all output."
Oxford,test/15097,14 pct protein minimum~~~13 pct moisture maximum~~~U.S. no. 2~~~better hard red winter,"['S', 'S', 'S', 'S']","2 or better northern spring/DNS, with 14 pct protein minimum and 13 pct moisture maximum, and U.S. no. 2 or better hard red winter, with 12 pct protein minimum and 13 pct moisture maximum."
Oxford,test/15097,"July 1-10 for 7,500-9,500 tonnes~~~Aug 1-10 for 8,000-10,000 tonnes~~~Sept 15-25 for 12,500-14,500 tonnes","['S', 'S', 'S']","The agent said NS/DNS laydays include July 1-10 for 7,500-9,500 tonnes, Aug 1-10 for 8,000-10,000 tonnes, and Sept 15-25 for 12,500-14,500 tonnes."
Oxford,test/15097,"June 20-30 on 5,000-7,000 tonnes~~~July 15-25 for 6,500-8,500 tonnes~~~September 15-25 for 7,000-9,000 tonnes","['S', 'S', 'S']","HRW laydays include June 20-30 on 5,000-7,000 tonnes, July 15-25 for 6,500-8,500 tonnes, and September 15-25 for 7,000-9,000 tonnes."
Neither,test/15103,other operating income~~~mainly fees~~~commissions,"['S', 'P', 'P']","Morgan said other operating income, mainly fees and commissions, rose to 102.2 mln dlrs from 88.4 mln, but net investment securities gains dropped to 43.1 mln from 58.1 mln."
Oxford,test/15106,Sao Paulo~~~Parana~~~Rio Grande do Sul,"['S', 'S', 'S']","The states of Sao Paulo, Parana and Rio Grande do Sul had between them 70 pct of the nation's capacity, but were responsible for only 50 to 60 pct of production."
Neither,test/15112,"specified quality~~~a minimum 99.9 pct purity , at a French port or border railway station~~~a minimum delivery of 10 tonnes","['S', 'P', 'S']","The French franc price is pre-tax, for specified quality, a minimum 99.9 pct purity, at a French port or border railway station and a minimum delivery of 10 tonnes."
Oxford,test/15132,the French export credit agency~~~COFACE~~~export credits,"['S', 'S', 'P']","Tunisia is expected to tender April 14 for 100,000 tonnes of French soft wheat for delivery between May and August and which would be covered by the French export credit agency, COFACE, export credits, traders said here."
Lack of Oxford,test/15146,"Holt , Rinehart and Winston Canada Ltd.~~~W.B. Saunders Co of Canada Ltd~~~Les Editions HRW Ltd","['P', 'S', 'S']","Investment Canada said it has allowed the indirect takeover of Holt, Rinehart and Winston Canada Ltd., W.B. Saunders Co of Canada Ltd and Les Editions HRW Ltd by Harcourt Brace Jovanovich Canada Inc."
Oxford,test/15146,Holt~~~Rinehart~~~Winston,"['S', 'S', 'S']","Investment Canada said it has allowed the indirect takeover of Holt, Rinehart and Winston Canada Ltd., W.B. Saunders Co of Canada Ltd and Les Editions HRW Ltd by Harcourt Brace Jovanovich Canada Inc."
Oxford,test/15154,"the Deputy U.S. Trade Representative~~~Michael Smith~~~the Under Secretary of Commerce , Bruce Smart","['S', 'S', 'S']","Makoto Kuroda, vice minister of Japan's Ministry of International Trade and Industry (MITI), is to hold two days of meetings with the Deputy U.S. Trade Representative, Michael Smith, and the Under Secretary of Commerce, Bruce Smart."
Oxford,test/15154,television~~~audio equipment~~~computers,"['S', 'S', 'P']","They are to be imposed on goods which use semiconductors, including television and audio equipment and computers."
Neither,test/15162,its primary markets~~~flat revenues~~~increased costs,"['P', 'P', 'P']","The trucking company attributed the loss to the continued rate of discounted in its primary markets, flat revenues and increased costs, including uninsured claims expense resulting from adverse weather conditions during the last three months."
Oxford,test/15190,after-tax gain of 29.4 mln dlrs~~~30 cts a share~~~after-tax gain of 31.4 mln dlrs~~~32 cts a share,"['S', 'S', 'S', 'S']","Shr 69 cts vs 64 cts Net 66,719,000 vs 61,773,000 Rev 285.6 mln vs 259.7 mln NOTE: Earnings include after-tax gain of 29.4 mln dlrs, or 30 cts a share, versus after-tax gain of 31.4 mln dlrs, or 32 cts a share, for 1986 first quarter."
Neither,test/15194,its stake in leading Spanish brewery <El Aguila S.A.> to 51.2 pct~~~new ventures~~~modernization,"['S', 'P', 'S']","Further consolidation of foreign companies, including the increase of its stake in leading Spanish brewery <El Aguila S.A.> to 51.2 pct, new ventures and modernization, particularly in French and Spanish interests, eroded profit margins."
Neither,test/15213,pacemakers~~~valves~~~catheters~~~lasers,"['P', 'P', 'P', 'P']","He said the worldwide market for cardiovascualr therapeutic products, which includes pacemakers, valves, catheters and lasers, will be valued at about 2.5 billion dlrs 1990 and will double that by 1995."
Oxford,test/15226,"its recently-opened Atlantic City , N.J. , Showboat Hotel~~~Casino~~~Bowling Center","['S', 'S', 'S']","He said the charge results from pre-operating expenses of its recently-opened Atlantic City, N.J., Showboat Hotel, Casino and Bowling Center and will cause a loss for the third quarter and probably for all of fiscal 1987 as well."
Lack of Oxford,test/15230,warplanes~~~helicopter gunships~~~heavy artillery~~~tanks,"['P', 'P', 'S', 'P']","The communique said Iranian Revolutionary Guards were under assault from warplanes, helicopter gunships, heavy artillery and tanks."
Oxford,test/15238,the United Kingdom~~~Indonesia~~~Pakistan,"['S', 'S', 'S']","The majority of the company's total energy production is in the United Kingdom, Indonesia and Pakistan."
Oxford,test/15240,Atlanta~~~Detroit~~~St.,"['S', 'S', 'S']","In 1987, Meinert said the company will open five new and 10 redesigned Kuppenheimer direct-to-consumer stores in Atlanta, Detroit, St. Louis, Washington, D.C. and San Francisco."
Lack of Oxford,test/15240,ties~~~shirts~~~some tailored clothing,"['P', 'P', 'S']","He said the company's women's apparel continues to grow, and Hartmarx has on the drawing board a Briar concept store which will feature ties, shirts and some tailored clothing."
Oxford,test/15253,Britain~~~FRance~~~Canada~~~West Germany,"['S', 'S', 'S', 'S']","Finance ministers and central bankers of Britain, FRance, Canada and West Germany were seen by Reuter correspondents returning to a Treasury building."
Oxford,test/15254,Livestock~~~Dairy~~~Poultry,"['S', 'S', 'S']","The American consumer has little reason to feel confident about the safety of meat and poultry being offered to him today,"" said Rodney Leonard, executive director of the Community Nutrition Institute. ""Company management is less concerned about the risk to health than about raising plant output and company profits,"" Leonard told a hearing of the House Agriculture Subcommittee on Livestock, Dairy and Poultry."
Oxford,test/15254,the condemned product~~~fecal material~~~human spit~~~chewing gum~~~paper towels used by plant employees to blow their noses,"['S', 'S', 'S', 'S', 'P']","Morrison told of chicken fat for flavoring being contaminated by ""intestines dragging in a water trough used to flush away the condemned product, fecal material, human spit, chewing gum and paper towels used by plant employees to blow their noses."""
Oxford,test/15254,approximately 37 pct of U.S. broilers~~~12 pct of raw pork~~~three to five pct of raw beef,"['S', 'S', 'S']","Salmonella, which in extreme cases can cause death, is found in approximately 37 pct of U.S. broilers, 12 pct of raw pork and three to five pct of raw beef, Houston said."
Neither,test/15264,"43,000 short tons of copper contained in concentrate~~~1,200 short tons of Molybdenum in concentrate~~~340,000 ounces of silver~~~800 ounces of gold","['P', 'P', 'P', 'P']","Cominco's share of production was 43,000 short tons of copper contained in concentrate, 1,200 short tons of Molybdenum in concentrate, 340,000 ounces of silver and 800 ounces of gold, he said."
Oxford,test/15281,Richard Jacob~~~Day chairman~~~chief executive officer,"['S', 'S', 'S']","Net earnings for the full year (ending October 31) should be in the ball park of some analysts' estimates of 16 mln dlrs to 19 mln dlrs,"" Richard Jacob, Day chairman and chief executive officer said."
Oxford,test/15287,China~~~Argentina~~~South Africa,"['S', 'S', 'S']","Ite appears the Koreans are shifting back to U.S. corn in light of competitive U.S. prices and uncertain supplies from China, Argentina and South Africa, it said."
Neither,test/15306,perfumes~~~skin care and treatment products~~~cosmetics of the group,"['P', 'P', 'P']","<Cascade Importers Inc USA>'s Cascade International Europa GmbH of West Germany, said it tentatively acquired worldwide rights for the products of Madam Gre from the Bernard Tapie Group in Paris. The agreement calls for Cascade to have the rights for the manufacturing and trading of perfumes, skin care and treatment products, and cosmetics of the group, it said."
Lack of Oxford,test/15308,its core businesses~~~chemicals~~~propane marketing,"['P', 'P', 'S']","The sale permits National to focus on its core businesses, chemicals and propane marketing."
Lack of Oxford,test/15308,Gilbey 's gin and vodka~~~DeKuyper Liqueurs~~~Windsor Supreme Canadian Whisky,"['P', 'P', 'S']","National's spirits brands include Gilbey's gin and vodka, DeKuyper Liqueurs and Windsor Supreme Canadian Whisky."
Oxford,test/15314,Rolls Royce PLC~~~<Japanese Aero Engines Corp>~~~Fiat SPA~~~<MTU> of West Germany,"['S', 'S', 'S', 'P']","IAE's other owners are Rolls Royce PLC, <Japanese Aero Engines Corp>, Fiat SPA and <MTU> of West Germany."
Neither,test/15341,"about 55,000 tonnes of vegetable oil~~~55,000 tonnes of corn~~~126,000 tonnes of wheat","['P', 'P', 'P']","The official noted the agreement signed in January provided for the supply of about 55,000 tonnes of vegetable oil, 55,000 tonnes of corn and 126,000 tonnes of wheat, all for delivery during the current fiscal year, ending this September 30."
Lack of Oxford,test/15363,Gilbey 's gin and vodka~~~Old Grandad~~~Old Crow whiskey,"['P', 'S', 'S']","Analysts said the National Distillers' spirits company, which makes Gilbey's gin and vodka, Old Grandad and Old Crow whiskey, is not quite the type of acquisition they envisioned. """
Neither,test/15364,goods~~~services~~~investments,"['P', 'P', 'P']","Koehler said that transactions on foreign exchange markets had parted company with transactions in goods, services and investments."
Oxford,test/15364,price stability~~~economic growth~~~full employment,"['S', 'S', 'S']","It was not only important to achieve the domestic goals of price stability, economic growth and full employment but also to tackle international problems like the exchange rate problem, the debt problem and the current account problem."
Oxford,test/15364,the exchange rate problem~~~the debt problem~~~the current account problem,"['S', 'S', 'S']","It was not only important to achieve the domestic goals of price stability, economic growth and full employment but also to tackle international problems like the exchange rate problem, the debt problem and the current account problem."
Neither,test/15366,"its Roma Gas unit~~~the associated Roma-Brisbane gas pipeline and the Bula oilfield on Seram , Indonesia~~~exploration interests in Queensland and Hainan Island , China","['S', 'P', 'P']","In a statement to clarify the position, CSR said it will retain its Roma Gas unit, the associated Roma-Brisbane gas pipeline and the Bula oilfield on Seram, Indonesia, plus exploration interests in Queensland and Hainan Island, China."
Neither,test/15372,a key industrial sector~~~telecommunications~~~information,"['S', 'P', 'S']","""The ministry is standing athwart the regulatory control of a key industrial sector, telecommunications and information,"" said one diplomatic source."
Oxford,test/15388,Shanxi~~~Henan~~~Sichuan~~~Anhui~~~Hebei~~~Jiangsu,"['S', 'S', 'S', 'S', 'S', 'S']","The paper said abnormal weather conditions had encouraged the spread of wheat midges in 2.47 mln hectares in Shanxi, Henan, Sichuan, Anhui, Hebei and Jiangsu."
Neither,test/15388,4.67 mln hectares~~~wheat red mite 2.8 mln hectares~~~wheat powdery mildew 1.7 mln hectares,"['P', 'P', 'P']","In Henan, Shandong and Hebei wheat aphids are affecting 4.67 mln hectares, wheat red mite 2.8 mln hectares and wheat powdery mildew 1.7 mln hectares."
Oxford,test/15389,net profit~~~a 40 pct increase from 144 mln in 1985~~~60 pct of the total,"['S', 'S', 'S']","Industrial businesses contributed 202 mln stg to net profit, a 40 pct increase from 144 mln in 1985, and 60 pct of the total."
Oxford,test/15389,wholly-owned subsidiaries RTZ Borax Ltd~~~RTZ Cement Ltd~~~RTZ Chemicals Ltd~~~RTZ Pillar Ltd. First time contributions,"['S', 'S', 'S', 'P']","Trading performance improved at wholly-owned subsidiaries RTZ Borax Ltd, RTZ Cement Ltd, RTZ Chemicals Ltd and RTZ Pillar Ltd. First time contributions from recent investment and acquisitions mainly in speciality chemicals and minerals also aided performance."
Oxford,test/15391,net 22 billion~~~current 52 billion~~~sales 800 billion,"['S', 'S', 'S']","47.73 billion vs 48.06 billion Operating 55.04 billion vs 54.99 billion Sales 792.71 billion vs 864.28 billion NOTE - Company forecast for current year is group shr 37.70 yen, net 22 billion, current 52 billion and sales 800 billion."
Oxford,test/15400,"Britain , Canada , France , Italy~~~Japan~~~the U.S.~~~West Germany","['S', 'S', 'S', 'S']","G-7 members Britain, Canada, France, Italy, Japan, the U.S. And West Germany said in a statement they consider their currencies are now within ranges broadly consistent with economic fundamentals."
Oxford,test/15400,Britain~~~Canada~~~France~~~Italy,"['S', 'S', 'S', 'S']","G-7 members Britain, Canada, France, Italy, Japan, the U.S. And West Germany said in a statement they consider their currencies are now within ranges broadly consistent with economic fundamentals."
Oxford,test/15410,"5-1/4~~~five pct yesterday~~~the borrowing interest spilled over into the periods , with one month rising to around 6-3/16 , 5-15/16 pct from 5-15/16","['S', 'S', 'S']","Spot-next rose to as high as 6-1/4, six pct from 5-1/4, five pct yesterday, and the borrowing interest spilled over into the periods, with one month rising to around 6-3/16, 5-15/16 pct from 5-15/16, 7/8 pct yesterday."
Oxford,test/15424,Indonesia~~~Malaysia~~~Singapore,"['S', 'S', 'S']","Officials from Indonesia, Malaysia, Singapore and, perhaps, Thailand will meet here tomorrow to discuss increased regional cooperation on rubber marketing and ways to raise rubber prices, industry sources said."
Oxford,test/15424,Malaysia~~~Indonesia~~~Thailand,"['S', 'S', 'S']","Malaysia, Indonesia and Thailand account for 90 pct of world rubber exports and Singapore is a major regional rubber trading centre."
Lack of Oxford,test/15429,1.30 guilders~~~2.4 pct stock vs 1.30 guilders~~~2.2 pct in stock,"['P', 'P', 'S']",Final dividend 1.30 guilders and 2.4 pct stock vs 1.30 guilders and 2.2 pct in stock.
Lack of Oxford,test/15438,currency influences~~~tighter interest margins~~~increased investment,"['P', 'P', 'S']","The company's life insurance result fell to 365.7 mln guilders after 428.4 mln in 1985 due to currency influences, tighter interest margins and increased investment."
Oxford,test/15450,"the United States~~~Japan~~~West Germany~~~France , Britain , Italy and Canada","['P', 'S', 'S', 'P']","The meeting of the so-called Group of Seven brought together ministers and central bank governors of the seven major industrial democracies, the United States, Japan, West Germany, France, Britain, Italy and Canada."
Oxford,test/15450,France~~~Britain~~~Italy~~~Canada,"['S', 'S', 'S', 'S']","The meeting of the so-called Group of Seven brought together ministers and central bank governors of the seven major industrial democracies, the United States, Japan, West Germany, France, Britain, Italy and Canada."
Neither,test/15451,the lower dollar rate~~~high initial costs for new products~~~the cost of new headquarters in The Hague,"['S', 'P', 'S']","AEGON said incidental negative influences on net profits were slightly higher, being the lower dollar rate, high initial costs for new products, and the cost of new headquarters in The Hague."
Oxford,test/15455,"Britain , Canada , France , Italy~~~Japan~~~the U.S.~~~West Germany","['S', 'S', 'S', 'S']","G-7 members Britain, Canada, France, Italy, Japan, the U.S. And West Germany said in a statement they consider their currencies are now within ranges broadly consistent with economic fundamentals."
Oxford,test/15455,Britain~~~Canada~~~France~~~Italy,"['S', 'S', 'S', 'S']","G-7 members Britain, Canada, France, Italy, Japan, the U.S. And West Germany said in a statement they consider their currencies are now within ranges broadly consistent with economic fundamentals."
Oxford,test/15467,the San Diego~~~Los Angeles~~~Orange Counties,"['S', 'S', 'P']","Coast said the acquisition would give it an entry into the San Joaquin Valley market besides strengthening its presence in the San Diego, Los Angeles and Orange Counties areas."
Lack of Oxford,test/15472,unusually high winter losses in the Soviet Union~~~drought in China~~~reduced plantings in North America,"['P', 'S', 'P']","FAO said in its monthly food outlook bulletin total world grain output was expected to fall 38 mln tonnes to 1,353 mln in 1987, due mainly to unusually high winter losses in the Soviet Union, drought in China and reduced plantings in North America."
Lack of Oxford,test/15489,deposits 21.1 billion~~~up 9.4 pct~~~loans 17.1 billion dlrs,"['P', 'S', 'P']","Assets 25.8 billion dlrs, up 7.2 pct from a year earlier, deposits 21.1 billion, up 9.4 pct, and loans 17.1 billion dlrs, up 17.2 pct."
Neither,test/15523,band one~~~60 mln stg bank bills at 9-7/8 pct and in band two 200 mln stg bank bills~~~one mln stg treasury bills at 9-13/16 pct,"['S', 'P', 'P']","The Bank bought in band one, 60 mln stg bank bills at 9-7/8 pct and in band two 200 mln stg bank bills and one mln stg treasury bills at 9-13/16 pct."
Neither,test/15536,"PASSO FUNDO NIL , SANTA MARIA 7.0 MILLIMETRES~~~CRUZ ALTA 8.5 MM~~~SAO LUIZ GONZAGA 4.4 MM","['P', 'P', 'P']","RIO GRANDO DO SUL STATE: PASSO FUNDO NIL, SANTA MARIA 7.0 MILLIMETRES, CRUZ ALTA 8.5 MM, SAO LUIZ GONZAGA 4.4 MM."
Oxford,test/15549,"the United States~~~Japan~~~West Germany~~~France , Britain , Italy and Canada","['P', 'S', 'S', 'P']","The Group of Seven -- the United States, Japan, West Germany, France, Britain, Italy and Canada -- therefore repeated their willingness to continue close cooperation to foster exchange rate stability."
Oxford,test/15549,France~~~Britain~~~Italy~~~Canada,"['S', 'S', 'S', 'S']","The Group of Seven -- the United States, Japan, West Germany, France, Britain, Italy and Canada -- therefore repeated their willingness to continue close cooperation to foster exchange rate stability."
Neither,test/15549,growth~~~inflation~~~monetary conditions~~~trade balances~~~current account balances,"['S', 'S', 'P', 'P', 'P']","The United States and France, backed by the International Monetary Fund, want the seven to agree on ranges or ""norms"" for a limited number of economic objectives such as growth, inflation, monetary conditions, trade balances and current account balances."
Lack of Oxford,test/15556,the popular LME Continental warehouses~~~Antwerp~~~Rotterdam,"['P', 'S', 'S']","On stocks, the popular LME Continental warehouses, Antwerp and Rotterdam, have little more than 3,000 tonnes of lead each, and this is believed to be in strong hands."
Lack of Oxford,test/15567,150.5 mln tonnes~~~145.5 mln~~~a record 152.4 mln,"['P', 'S', 'S']","The strategy for increasing irrigation potential along with greater use of high yielding seed varieites and improvement in fertiliser efficiency is yielding results, it said, adding total foodgrain output in 1985/86, 1984/85 and 1983/84 respectively was 150.5 mln tonnes, 145.5 mln and a record 152.4 mln."
Lack of Oxford,test/15597,Dec 23 and 31~~~1986~~~50 cts,"['P', 'S', 'S']","The initital dividend includes five cts attributable to the period between Dec 23 and 31, 1986, and 50 cts attributable to the first qtr of 1987, ending March 31, 1987."
Oxford,test/15602,a major financial systems sales last year~~~a higher effective tax rate~~~the increased number of shares outstanding,"['S', 'S', 'S']","Oswald said National Computer's first quarter results will be down as a result of a major financial systems sales last year, a higher effective tax rate and the increased number of shares outstanding."
Lack of Oxford,test/15617,the United States~~~Japan~~~West Germany,"['P', 'S', 'S']","Lawson said he was still worried about the risk of a simultaneous recession in the United States, Japan and West Germany, though less so than when he gave his March 17 budget speech to the British Parliament. ""If anything I'm a little bit less concerned, but there is still a risk,"" he said."
Oxford,test/15621,"the United States~~~Canada , Britain , Japan , Italy~~~West Germany~~~France","['P', 'S', 'S', 'S']","The G-10 includes the group of seven - the United States, Canada, Britain, Japan, Italy, West Germany and France - plus Belgium, the Netherlands, Sweden and also Switzerland."
Oxford,test/15621,Canada~~~Britain~~~Japan~~~Italy,"['S', 'S', 'S', 'S']","The G-10 includes the group of seven - the United States, Canada, Britain, Japan, Italy, West Germany and France - plus Belgium, the Netherlands, Sweden and also Switzerland."
Oxford,test/15621,Belgium~~~the Netherlands~~~Sweden,"['S', 'S', 'S']","The G-10 includes the group of seven - the United States, Canada, Britain, Japan, Italy, West Germany and France - plus Belgium, the Netherlands, Sweden and also Switzerland."
