ambiguity,fileid,nps,numbers,sent
,ca01,,,The Hartsfield home is at 637 E. Pelham Rd. Aj.
,ca01,,,Henry L. Bowden was listed on the petition as the mayor's attorney.
,ca01,,,"Hartsfield has been mayor of Atlanta, with exception of one brief interlude, since 1937."
,ca01,,,His political career goes back to his election to city council in 1923.
,ca01,,,The mayor's present term of office expires Jan. 1.
,ca01,,,"He will be succeeded by Ivan Allen Jr., who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection."
,ca01,,,"Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 governor's race, a top official said Wednesday."
,ca01,,,"Robert Snodgrass, state GOP chairman, said a meeting held Tuesday night in Blue Ridge brought enthusiastic responses from the audience."
,ca01,,,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker.
,ca01,,,"In the Blue Ridge meeting, the audience was warned that entering a candidate for governor would force it to take petitions out into voting precincts to obtain the signatures of registered voters."
,ca01,,,"Despite the warning, there was a unanimous vote to enter a candidate, according to Republicans who attended."
,ca01,,,"When the crowd was asked whether it wanted to wait one more term to make the race, it voted no -- and there were no dissents."
,ca01,,,"The largest hurdle the Republicans would have to face is a state law which says that before making a first race, one of two alternative courses must be taken : 1"
,ca01,,,"Five per cent of the voters in each county must sign petitions requesting that the Republicans be allowed to place names of candidates on the general election ballot, or 2"
,ca01,,,The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform.
,ca01,,,"Sam Caldwell, State Highway Department public relations director, resigned Tuesday to work for Lt. Gov. Garland Byrd's campaign."
,ca01,,,Caldwell's resignation had been expected for some time.
,ca01,,,"He will be succeeded by Rob Ledford of Gainesville, who has been an assistant more than three years."
,ca01,,,"When the gubernatorial campaign starts, Caldwell is expected to become a campaign coordinator for Byrd."
,ca01,,,The Georgia Legislature will wind up its 1961 session Monday and head for home -- where some of the highway bond money it approved will follow shortly.
,ca01,,,"Before adjournment Monday afternoon, the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made."
,ca01,,,Gov. Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment.
,ca01,,,Vandiver likely will mention the $100 million highway bond issue approved earlier in the session as his first priority item.
,ca01,,,Construction bonds
,ca01,,,"Meanwhile, it was learned the State Highway Department is very near being ready to issue the first $30 million worth of highway reconstruction bonds."
,ca01,,,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act, and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways."
,ca01,,,A Highway Department source said there also is a plan there to issue some $3 million to $4 million worth of Rural Roads Authority bonds for rural road construction work.
,ca01,,,A revolving fund
,ca01,,,The department apparently intends to make the Rural Roads Authority a revolving fund under which new bonds would be issued every time a portion of the old ones are paid off by tax authorities.
,ca01,,,Vandiver opened his race for governor in 1958 with a battle in the Legislature against the issuance of $50 million worth of additional rural roads bonds proposed by then Gov. Marvin Griffin.
,ca01,,,"The Highway Department source told The Constitution, however, that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds."
,ca01,,,Schley County Rep. B. D. Pelham will offer a resolution Monday in the House to rescind the body's action of Friday in voting itself a $10 per day increase in expense allowances.
,ca01,,,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought.
,ca01,,,"While emphasizing that technical details were not fully worked out, Pelham said his resolution would seek to set aside the privilege resolution which the House voted through 87-31."
,ca01,,,A similar resolution passed in the Senate by a vote of 29-5.
,ca01,,,"As of Sunday night, there was no word of a resolution being offered there to rescind the action."
,ca01,,,Pelham pointed out that Georgia voters last November rejected a constitutional amendment to allow legislators to vote on pay raises for future Legislature sessions.
,ca01,,,"A veteran Jackson County legislator will ask the Georgia House Monday to back federal aid to education, something it has consistently opposed in the past."
,ca01,,,"Rep. Mac Barber of Commerce is asking the House in a privilege resolution to `` endorse increased federal support for public education, provided that such funds be received and expended '' as state funds."
,ca01,,,"Barber, who is in his 13th year as a legislator, said there `` are some members of our congressional delegation in Washington who would like to see it (the resolution) passed ''."
,ca01,,,But he added that none of Georgia's congressmen specifically asked him to offer the resolution.
,ca01,,,"The resolution, which Barber tossed into the House hopper Friday, will be formally read Monday."
,ca01,,,"It says that `` in the event Congress does provide this increase in federal funds '', the State Board of Education should be directed to `` give priority '' to teacher pay raises."
,ca01,,,Colquitt
,ca01,,,"-- After a long, hot controversy, Miller County has a new school superintendent, elected, as a policeman put it, in the `` coolest election I ever saw in this county ''."
,ca01,,,"The new school superintendent is Harry Davis, a veteran agriculture teacher, who defeated Felix Bush, a school principal and chairman of the Miller County Democratic Executive Committee."
,ca01,,,"Davis received 1,119 votes in Saturday's election, and Bush got 402."
,ca01,,,"Ordinary Carey Williams, armed with a pistol, stood by at the polls to insure order."
,ca01,,,"`` This was the coolest, calmest election I ever saw '', Colquitt Policeman Tom Williams said."
,ca01,,,`` Being at the polls was just like being at church.
,ca01,,,"I didn't smell a drop of liquor, and we didn't have a bit of trouble ''."
,ca01,,,"The campaign leading to the election was not so quiet, however."
,ca01,,,"It was marked by controversy, anonymous midnight phone calls and veiled threats of violence."
Neither,ca01,controversy~~~anonymous midnight phone calls~~~veiled threats of violence,"['S', 'P', 'P']","It was marked by controversy, anonymous midnight phone calls and veiled threats of violence."
,ca01,,,"The former county school superintendent, George P. Callan, shot himself to death March 18, four days after he resigned his post in a dispute with the county school board."
,ca01,,,"During the election campaign, both candidates, Davis and Bush, reportedly received anonymous telephone calls."
Lack of Oxford,ca01,both candidates~~~Davis~~~Bush,"['P', 'S', 'S']","During the election campaign, both candidates, Davis and Bush, reportedly received anonymous telephone calls."
,ca01,,,"Ordinary Williams said he, too, was subjected to anonymous calls soon after he scheduled the election."
,ca01,,,"Many local citizens feared that there would be irregularities at the polls, and Williams got himself a permit to carry a gun and promised an orderly election."
,ca01,,,Sheriff Felix Tabb said the ordinary apparently made good his promise.
,ca01,,,"`` Everything went real smooth '', the sheriff said."
,ca01,,,`` There wasn't a bit of trouble ''.
,ca02,,,"Austin, Texas"
,ca02,,,-- Committee approval of Gov. Price Daniel's `` abandoned property '' act seemed certain Thursday despite the adamant protests of Texas bankers.
,ca02,,,"Daniel personally led the fight for the measure, which he had watered down considerably since its rejection by two previous Legislatures, in a public hearing before the House Committee on Revenue and Taxation."
,ca02,,,"Under committee rules, it went automatically to a subcommittee for one week."
,ca02,,,But questions with which committee members taunted bankers appearing as witnesses left little doubt that they will recommend passage of it.
,ca02,,,Daniel termed `` extremely conservative '' his estimate that it would produce 17 million dollars to help erase an anticipated deficit of 63 million dollars at the end of the current fiscal year next Aug. 31.
,ca02,,,He told the committee the measure would merely provide means of enforcing the escheat law which has been on the books `` since Texas was a republic ''.
,ca02,,,"It permits the state to take over bank accounts, stocks and other personal property of persons missing for seven years or more."
Lack of Oxford,ca02,bank accounts~~~stocks~~~other personal property,"['P', 'P', 'S']","It permits the state to take over bank accounts, stocks and other personal property of persons missing for seven years or more."
,ca02,,,"The bill, which Daniel said he drafted personally, would force banks, insurance firms, pipeline companies and other corporations to report such property to the state treasurer."
Neither,ca02,banks~~~insurance firms~~~pipeline companies~~~other corporations,"['P', 'P', 'P', 'P']","The bill, which Daniel said he drafted personally, would force banks, insurance firms, pipeline companies and other corporations to report such property to the state treasurer."
,ca02,,,"The escheat law cannot be enforced now because it is almost impossible to locate such property, Daniel declared."
,ca02,,,"Dewey Lawrence, a Tyler lawyer representing the Texas Bankers Association, sounded the opposition keynote when he said it would force banks to violate their contractual obligations with depositors and undermine the confidence of bank customers."
,ca02,,,"`` If you destroy confidence in banks, you do something to the economy '', he said."
,ca02,,,`` You take out of circulation many millions of dollars ''.
,ca02,,,"Rep. Charles E. Hughes of Sherman, sponsor of the bill, said a failure to enact it would amount `` to making a gift out of the taxpayers' pockets to banks, insurance and pipeline companies ''."
,ca02,,,"His contention was denied by several bankers, including Scott Hudson of Sherman, Gaynor B. Jones of Houston, J. B. Brady of Harlingen and Howard Cox of Austin."
Oxford,ca02,Scott Hudson of Sherman~~~Gaynor B. Jones of Houston~~~J. B. Brady of Harlingen~~~Howard Cox of Austin,"['S', 'S', 'S', 'S']","His contention was denied by several bankers, including Scott Hudson of Sherman, Gaynor B. Jones of Houston, J. B. Brady of Harlingen and Howard Cox of Austin."
,ca02,,,"Cox argued that the bill is `` probably unconstitutional '' since, he said, it would impair contracts."
,ca02,,,"He also complained that not enough notice was given on the hearing, since the bill was introduced only last Monday."
,ca02,,,"Austin, Texas"
,ca02,,,-- Senators unanimously approved Thursday the bill of Sen. George Parkhouse of Dallas authorizing establishment of day schools for the deaf in Dallas and the four other largest counties.
,ca02,,,The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state.
,ca02,,,There was no debate as the Senate passed the bill on to the House.
,ca02,,,"It would authorize the Texas Education Agency to establish county-wide day schools for the deaf in counties of 300,000 or more population, require deaf children between 6 and 13 years of age to attend the day schools, permitting older ones to attend the residential Texas School for the Deaf here."
,ca02,,,"Operating budget for the day schools in the five counties of Dallas, Harris, Bexar, Tarrant and El Paso would be $451,500, which would be a savings of $157,460 yearly after the first year's capital outlay of $88,000 was absorbed, Parkhouse told the Senate."
Oxford,ca02,Dallas~~~Harris~~~Bexar~~~Tarrant~~~El,"['S', 'S', 'S', 'S', 'S']","Operating budget for the day schools in the five counties of Dallas, Harris, Bexar, Tarrant and El Paso would be $451,500, which would be a savings of $157,460 yearly after the first year's capital outlay of $88,000 was absorbed, Parkhouse told the Senate."
,ca02,,,"The TEA estimated there would be 182 scholastics to attend the day school in Dallas County, saving them from coming to Austin to live in the state deaf school."
,ca02,,,Dallas may get to hear a debate on horse race parimutuels soon between Reps. V. E. (Red) Berry and Joe Ratcliff.
,ca02,,,"While details are still to be worked out, Ratcliff said he expects to tell home folks in Dallas why he thinks Berry's proposed constitutional amendment should be rejected."
,ca02,,,"`` We're getting more ' pro ' letters than ' con ' on horse race betting '', said Ratcliff."
,ca02,,,"`` But I believe if people were better informed on this question, most of them would oppose it also."
,ca02,,,I'm willing to stake my political career on it ''.
,ca02,,,"Rep. Berry, an ex-gambler from San Antonio, got elected on his advocacy of betting on the ponies."
,ca02,,,"A House committee which heard his local option proposal is expected to give it a favorable report, although the resolution faces hard sledding later."
,ca02,,,"The house passed finally, and sent to the Senate, a bill extending the State Health Department's authority to give planning assistance to cities."
,ca02,,,"The senate quickly whipped through its meager fare of House bills approved by committees, passing the three on the calendar."
,ca02,,,One validated acts of school districts.
,ca02,,,Another enlarged authority of the Beaumont Navigation District.
,ca02,,,"The third amended the enabling act for creation of the Lamar county Hospital District, for which a special constitutional amendment previously was adopted."
,ca02,,,"Without dissent, senators passed a bill by Sen. A. R. Schwartz of Galveston authorizing establishment in the future of a school for the mentally retarded in the Gulf Coast district."
,ca02,,,Money for its construction will be sought later on but in the meantime the State Hospital board can accept gifts and donations of a site.
,ca02,,,Two tax revision bills were passed.
,ca02,,,"One, by Sen. Louis Crump of San Saba, would aid more than 17,000 retailers who pay a group of miscellaneous excise taxes by eliminating the requirement that each return be notarized."
,ca02,,,"Instead, retailers would sign a certificate of correctness, violation of which would carry a penalty of one to five years in prison, plus a $1,000 fine."
Oxford,ca02,"a certificate of correctness~~~violation of which would carry a penalty of one to five years in prison~~~a $ 1,000 fine","['S', 'S', 'S']","Instead, retailers would sign a certificate of correctness, violation of which would carry a penalty of one to five years in prison, plus a $1,000 fine."
,ca02,,,It was one of a series of recommendations by the Texas Research League.
,ca02,,,"The other bill, by Sen. A. M. Aikin Jr. of Paris, would relieve real estate brokers, who pay their own annual licensing fee, from the $12 annual occupation license on brokers in such as stocks and bonds."
,ca02,,,"Natural gas public utility companies would be given the right of eminent domain, under a bill by Sen. Frank Owen 3, of El Paso, to acquire sites for underground storage reservoirs for gas."
,ca02,,,"Marshall Formby of Plainview, former chairman of the Texas Highway Commission, suggested a plan to fill by appointment future vacancies in the Legislature and Congress, eliminating the need for costly special elections."
,ca02,,,"Under Formby's plan, an appointee would be selected by a board composed of the governor, lieutenant governor, speaker of the House, attorney general and chief justice of the Texas Supreme Court."
Oxford,ca02,the governor~~~lieutenant governor~~~speaker of the House~~~attorney general~~~chief justice,"['S', 'S', 'S', 'S', 'S']","Under Formby's plan, an appointee would be selected by a board composed of the governor, lieutenant governor, speaker of the House, attorney general and chief justice of the Texas Supreme Court."
,ca02,,,"Austin, Texas"
,ca02,,,-- State representatives decided Thursday against taking a poll on what kind of taxes Texans would prefer to pay.
,ca02,,,"An adverse vote of 81 to 65 kept in the State Affairs Committee a bill which would order the referendum on the April 4 ballot, when Texas votes on a U.S. senator."
,ca02,,,"Rep. Wesley Roberts of Seminole, sponsor of the poll idea, said that further delay in the committee can kill the bill."
,ca02,,,The West Texan reported that he had finally gotten Chairman Bill Hollowell of the committee to set it for public hearing on Feb. 22.
,ca02,,,"The proposal would have to receive final legislative approval, by two-thirds majorities, before March 1 to be printed on the April 4 ballot, Roberts said."
,ca02,,,Opponents generally argued that the ballot couldn't give enough information about tax proposals for the voters to make an intelligent choice.
,ca02,,,"All Dallas members voted with Roberts, except Rep. Bill Jones, who was absent."
,ca02,,,"Austin, Texas"
,ca02,,,-- Paradise lost to the alleged water needs of Texas' big cities Thursday.
,ca02,,,"Rep. James Cotten of Weatherford insisted that a water development bill passed by the Texas House of Representatives was an effort by big cities like Dallas and Fort Worth to cover up places like Paradise, a Wise County hamlet of 250 people."
,ca02,,,"When the shouting ended, the bill passed, 114 to 4, sending it to the Senate, where a similar proposal is being sponsored by Sen. George Parkhouse of Dallas."
,ca02,,,Most of the fire was directed by Cotten against Dallas and Sen. Parkhouse.
,ca02,,,"The bill would increase from $5,000,000 to $15,000,000 the maximum loan the state could make to a local water project."
,ca02,,,Cotten construed this as a veiled effort by Parkhouse to help Dallas and other large cities get money which Cotten felt could better be spent providing water for rural Texas.
,ca02,,,"Statements by other legislators that Dallas is paying for all its water program by local bonds, and that less populous places would benefit most by the pending bill, did not sway Cotten's attack."
,ca02,,,"The bill's defenders were mostly small-town legislators like J. W. Buchanan of Dumas, Eligio (Kika) De La Garza of Mission, Sam F. Collins of Newton and Joe Chapman of Sulphur Springs."
Oxford,ca02,J. W. Buchanan of Dumas~~~Eligio -LRB- Kika -RRB- De La Garza of Mission~~~Sam F. Collins of Newton~~~Joe Chapman of Sulphur Springs,"['S', 'S', 'S', 'S']","The bill's defenders were mostly small-town legislators like J. W. Buchanan of Dumas, Eligio (Kika) De La Garza of Mission, Sam F. Collins of Newton and Joe Chapman of Sulphur Springs."
,ca02,,,"`` This is a poor boy's bill '', said Chapman."
,ca02,,,`` Dallas and Fort Worth can vote bonds.
,ca02,,,This would help the little peanut districts ''.
,ca02,,,"Austin, Texas"
,ca02,,,"-- A Houston teacher, now serving in the Legislature, proposed Thursday a law reducing the time spent learning `` educational methods ''."
,ca02,,,"Rep. Henry C. Grover, who teaches history in the Houston public schools, would reduce from 24 to 12 semester hours the so-called `` teaching methods '' courses required to obtain a junior or senior high school teaching certificate."
,ca02,,,A normal year's work in college is 30 semester hours.
,ca02,,,Grover also would require junior-senior high teachers to have at least 24 semester hours credit in the subject they are teaching.
,ca02,,,The remainder of the 4-year college requirement would be in general subjects.
,ca02,,,"`` A person with a master's degree in physics, chemistry, math or English, yet who has not taken Education courses, is not permitted to teach in the public schools '', said Grover."
Oxford,ca02,physics~~~chemistry~~~math~~~English,"['P', 'S', 'S', 'S']","`` A person with a master's degree in physics, chemistry, math or English, yet who has not taken Education courses, is not permitted to teach in the public schools '', said Grover."
,ca02,,,College teachers in Texas are not required to have the Education courses.
,ca02,,,Fifty-three of the 150 representatives immediately joined Grover as co-signers of the proposal.
,ca02,,,"Paris, Texas (sp.)"
,ca02,,,"-- The board of regents of Paris Junior College has named Dr. Clarence Charles Clark of Hays, Kan. as the school's new president."
,ca02,,,"Dr. Clark will succeed Dr. J. R. McLemore, who will retire at the close of the present school term."
,ca02,,,Dr. Clark holds an earned Doctor of Education degree from the University of Oklahoma.
,ca02,,,"He also received a Master of Science degree from Texas A & I College and a Bachelor of Science degree from Southwestern State College, Weatherford, Okla.."
,ca02,,,"In addition, Dr. Clark has studied at Rhode Island State College and Massachusetts Institute of Technology."
,ca02,,,"During his college career, Dr. Clark was captain of his basketball team and was a football letterman."
,ca02,,,"Dr. Clark has served as teacher and principal in Oklahoma high schools, as teacher and athletic director at Raymondville, Texas, High School, as an instructor at the University of Oklahoma, and as an associate professor of education at Fort Hays, Kan., State College."
,ca02,,,He has served as a border patrolman and was in the Signal Corps of the U.S. Army.
,ca02,,,"Denton, Texas (sp.)"
,ca02,,,-- Principals of the 13 schools in the Denton Independent School District have been re-elected for the 1961-62 session upon the recommendation of Supt. Chester O. Strickland.
,ca02,,,State and federal legislation against racial discrimination in employment was called for yesterday in a report of a `` blue ribbon '' citizens committee on the aid to dependent children program.
,ca02,,,"The report, culminating a year long study of the ADC program in Cook county by a New York City welfare consulting firm, listed 10 long range recommendations designed to reduce the soaring ADC case load."
,ca02,,,"The report called racial discrimination in employment `` one of the most serious causes of family breakdown, desertion, and ADC dependency ''."
Oxford,ca02,family breakdown~~~desertion~~~ADC dependency,"['S', 'S', 'S']","The report called racial discrimination in employment `` one of the most serious causes of family breakdown, desertion, and ADC dependency ''."
,ca02,,,`` Must solve problem ''
,ca02,,,"The monthly cost of ADC to more than 100,000 recipients in the county is 4.4 million dollars, said C. Virgil Martin, president of Carson Pirie Scott & Co., committee chairman."
,ca02,,,"`` We must solve the problems which have forced these people to depend upon ADC for subsistence '', Martin said."
,ca02,,,"The volume of ADC cases will decrease, Martin reported, when the community is able to deal effectively with two problems : Relatively limited skills and discrimination in employment because of color."
,ca02,,,"These, he said, are `` two of the principal underlying causes for family breakups leading to ADC ''."
,ca02,,,Calls for extension
,ca02,,,Other recommendations made by the committee are :
,ca02,,,"Extension of the ADC program to all children in need living with any relatives, including both parents, as a means of preserving family unity."
,ca02,,,Research projects as soon as possible on the causes and prevention of dependency and illegitimacy.
